i,latency_ms
0,16.967
1,22.197
2,76.763
3,78.393
4,83.906
5,82.680
6,82.359
7,84.828
8,85.316
9,84.135
10,86.719
11,85.784
12,85.541
13,88.068
14,90.854
15,91.108
16,90.997
17,92.079
18,93.521
19,93.152
20,94.544
21,95.578
22,97.122
23,99.669
24,96.798
25,98.551
26,99.617
27,99.451
28,103.429
29,102.386
30,102.442
31,103.041
32,107.675
33,112.453
34,112.192
35,115.618
36,113.792
37,115.958
38,116.458
39,120.742
40,123.064
41,125.493
42,125.557
43,128.671
44,133.632
45,134.592
46,136.108
47,137.577
48,68.758
49,144.661
50,147.447
51,148.889
52,150.633
53,152.255
54,153.350
55,154.713
56,161.680
57,163.664
58,165.015
59,166.469
60,168.061
61,169.380
62,171.436
63,180.206
64,182.026
65,187.012
66,185.350
67,187.254
68,189.209
69,190.912
70,193.044
71,193.854
72,196.756
73,198.656
74,199.960
75,202.940
76,211.470
77,215.150
78,217.410
79,219.372
80,220.362
81,223.357
82,225.463
83,227.639
84,229.468
85,230.585
86,233.044
87,236.097
88,238.192
89,240.173
90,242.960
91,245.202
92,247.394
93,249.896
94,172.492
95,261.961
96,150.957
97,153.352
98,140.167
99,199.141
100,231.106
101,246.926
102,136.969
103,277.904
104,288.452
105,93.696
106,238.699
107,312.746
108,222.801
109,319.609
110,199.400
111,264.893
112,353.831
113,292.765
114,228.885
115,392.388
116,370.101
117,406.179
118,392.638
119,406.537
120,514.957
121,314.511
122,304.086
123,80.071
124,476.580
125,407.941
126,590.956
127,463.963
128,606.691
129,397.660
130,455.560
131,385.804
132,536.289
133,577.868
134,174.115
135,328.254
136,413.841
137,330.329
138,478.326
139,608.581
140,588.890
141,528.393
142,689.918
143,584.902
144,587.767
145,209.293
146,576.400
147,664.659
148,271.903
149,763.899
150,498.740
151,191.634
152,686.390
153,726.841
154,636.591
155,382.166
156,900.087
157,207.656
158,123.728
159,109.073
160,842.136
161,347.185
162,868.063
163,546.481
164,790.026
165,248.972
166,330.323
167,902.448
168,98.708
169,182.036
170,442.731
171,849.580
172,814.718
173,338.932
174,756.739
175,105.457
176,233.207
177,1098.813
