i,latency_ms
0,20.427
1,92.686
2,93.464
3,175.697
4,364.845
5,364.106
6,546.582
7,374.301
8,585.228
9,612.531
10,613.630
11,651.098
12,322.109
13,688.957
14,689.798
15,685.961
16,703.401
17,707.433
18,711.789
19,711.886
20,32.533
21,717.477
22,723.181
23,723.085
24,34.060
25,723.143
26,176.769
27,725.722
28,180.148
29,731.107
30,729.815
31,735.075
32,127.283
33,735.382
34,739.553
35,740.456
36,739.096
37,741.785
38,742.395
39,155.420
40,743.635
41,656.949
42,748.878
43,657.687
44,750.090
45,100.451
46,26.903
47,754.180
48,66.760
49,16.645
50,752.952
51,53.373
52,74.276
53,760.379
54,759.065
55,60.755
56,768.742
57,157.088
58,769.490
59,766.025
60,770.064
61,770.968
62,54.860
63,64.430
64,64.344
65,777.877
66,775.995
67,777.660
68,61.394
69,781.859
70,782.436
71,58.986
72,786.590
73,59.394
74,71.176
75,65.191
76,63.217
77,792.339
78,59.135
79,37.793
80,815.397
81,814.939
82,91.176
83,455.077
84,100.295
85,818.205
86,108.851
87,94.407
88,832.254
89,96.530
90,91.384
91,48.472
92,108.091
93,844.760
94,106.986
95,847.375
96,118.807
97,852.115
98,854.152
99,853.509
100,111.680
101,855.493
102,113.051
103,120.960
104,860.814
105,865.036
106,118.530
107,87.612
108,129.554
109,873.635
110,124.529
111,140.331
112,879.655
113,881.249
114,882.053
115,115.903
116,120.375
117,896.456
118,898.261
119,107.063
120,139.339
121,903.461
122,142.484
123,907.307
124,909.925
125,910.681
126,912.428
127,914.582
128,918.123
129,920.038
130,921.831
131,923.853
132,924.708
133,189.084
134,158.587
135,939.870
136,944.078
137,944.896
138,947.199
139,950.327
140,951.793
141,955.012
142,957.327
143,958.921
144,962.400
145,963.647
146,967.122
147,969.491
148,971.568
149,974.140
150,976.647
151,979.570
152,981.811
153,984.285
154,977.677
155,989.954
156,208.280
157,182.508
158,185.053
159,189.870
160,185.417
161,279.556
162,151.626
163,274.451
164,300.758
165,343.122
166,249.137
167,348.044
168,317.241
169,211.913
170,332.621
171,367.242
172,89.151
173,313.558
174,257.420
175,140.060
176,275.861
177,287.045
178,119.396
179,368.980
180,377.254
181,385.424
182,507.055
183,123.019
184,509.443
185,389.535
186,496.398
187,396.153
188,403.985
189,108.363
190,562.403
191,81.059
192,423.899
193,454.206
194,518.863
195,453.843
196,558.508
197,528.831
198,593.072
199,75.273
200,562.588
201,496.336
202,506.035
203,72.176
204,716.874
205,606.281
206,619.844
207,89.465
208,576.592
209,708.833
210,770.269
211,83.154
212,93.282
213,754.947
214,634.314
215,704.398
216,787.252
217,112.122
218,641.618
219,336.458
220,258.364
221,883.659
222,700.480
223,343.251
224,658.193
225,522.195
226,85.531
227,609.589
228,858.714
229,647.386
230,844.149
231,810.145
232,140.315
233,126.525
234,903.035
235,821.134
236,118.609
237,124.571
238,1019.421
239,879.337
240,882.295
241,1018.624
242,103.271
243,368.441
244,856.396
245,632.568
246,1005.051
247,440.359
248,131.687
249,1097.046
250,836.475
251,298.556
252,544.484
253,111.444
254,112.606
255,696.656
256,843.781
257,495.752
258,218.779
259,1166.693
260,1113.043
261,101.963
262,551.354
263,1261.357
264,1117.224
265,176.043
266,1179.675
267,213.230
268,243.423
269,994.575
270,1179.245
271,814.925
272,419.743
273,978.886
274,1303.552
275,1340.660
276,449.234
277,388.590
278,1413.677
279,875.294
280,323.392
281,347.410
282,1399.608
283,112.016
284,716.335
285,1239.296
286,1281.299
287,1424.062
288,282.154
289,359.179
290,1396.653
291,1417.293
292,1672.198
293,1533.556
294,1256.564
295,859.562
296,454.600
297,1562.182
298,353.276
299,1617.435
300,1009.247
301,1596.823
302,1698.538
303,150.194
304,732.055
305,1715.266
306,1377.684
307,1707.522
308,1827.904
309,1728.921
310,810.462
311,1633.479
312,132.451
313,146.533
314,1912.687
315,769.358
316,402.714
317,1053.538
318,1914.812
319,406.124
320,561.163
321,1957.239
322,135.830
323,117.136
324,1477.695
325,173.511
326,755.051
327,656.705
328,1362.383
329,1840.601
330,569.601
331,570.042
332,431.535
333,392.289
334,525.320
335,1111.823
336,256.930
337,976.018
338,89.422
339,1316.819
340,1243.896
341,1389.675
342,750.775
343,565.785
344,1340.413
345,421.320
346,1666.517
347,96.560
348,285.761
349,1424.359
350,109.685
351,126.802
352,1488.665
353,111.564
354,862.105
355,454.973
356,1759.893
357,366.883
358,1252.702
359,776.240
360,262.035
361,1801.814
362,551.233
363,122.181
364,1300.016
365,759.983
366,1698.484
367,2261.920
368,533.882
369,421.212
370,1160.251
371,2478.777
372,892.663
373,606.052
374,579.589
375,469.768
376,810.870
377,1272.654
378,105.667
379,183.687
380,671.052
381,940.135
382,107.822
383,304.538
384,1010.548
385,405.594
386,560.971
387,2075.089
388,159.847
389,1335.728
390,1735.724
391,343.711
392,101.608
393,1158.022
394,875.012
395,941.653
396,2048.147
397,657.108
398,1574.622
399,2610.226
400,470.534
401,362.403
402,2758.945
403,104.574
404,877.470
405,1392.635
406,111.211
407,668.810
408,722.057
409,111.331
410,230.306
411,723.462
412,1190.275
413,2700.334
414,417.219
415,2948.087
416,263.212
417,2781.835
418,467.664
419,3009.530
420,478.156
421,1976.948
422,143.170
423,1197.110
424,1247.683
425,461.903
426,502.239
427,1174.685
428,145.236
429,1846.659
430,438.020
431,1973.429
432,1636.718
433,2649.055
434,322.653
435,986.246
436,3091.952
437,818.229
438,139.286
439,2847.422
440,252.682
441,1267.143
442,364.757
443,393.679
444,632.910
445,680.766
446,914.458
447,1257.289
448,956.358
449,693.044
450,2400.949
451,1400.198
452,1136.050
453,1143.651
454,1372.690
455,361.977
456,358.544
457,256.542
458,634.575
459,1217.605
460,3461.294
461,349.426
462,296.659
463,393.985
464,2652.074
465,1098.692
466,400.448
467,804.523
468,874.380
469,861.852
470,451.564
471,1120.162
472,2958.153
473,642.290
474,947.001
475,1328.284
476,92.998
477,2146.281
478,699.023
479,1764.662
480,1373.086
481,724.744
482,935.361
483,715.813
484,1274.337
485,119.308
486,351.728
487,349.414
488,2088.460
489,681.488
490,1910.895
491,1338.673
492,519.908
493,2452.761
494,112.890
495,1359.269
496,1519.448
497,1239.414
498,245.509
499,1305.734
500,333.413
501,267.506
502,615.042
503,519.687
504,1147.851
505,245.114
506,856.091
507,2011.327
508,309.270
509,1778.966
510,2530.700
511,595.466
512,340.562
513,906.265
514,741.444
515,123.950
516,546.658
517,1187.219
518,361.643
519,2722.640
520,594.662
521,668.649
522,4124.259
523,700.636
524,2535.605
525,794.806
526,546.886
527,3205.035
528,197.105
529,565.031
530,996.031
531,2525.481
532,119.930
533,1116.025
534,1533.270
535,1121.875
536,3031.436
537,205.939
538,2998.057
539,135.756
540,323.921
541,848.897
542,1009.228
543,428.041
544,502.844
545,123.769
546,1810.819
547,1555.863
548,1120.879
549,1597.261
550,3056.657
551,434.842
552,1658.135
553,2034.945
554,112.237
555,3029.292
556,1268.916
557,486.330
558,129.310
559,2503.708
560,1350.694
561,3391.516
562,1842.531
563,766.433
564,2462.165
565,386.447
566,1505.649
567,448.444
568,1031.761
569,1910.161
570,1722.837
571,1571.003
572,190.998
573,896.800
574,1013.001
575,1215.351
576,447.128
577,387.160
578,112.299
579,292.755
580,2419.555
581,1304.212
582,628.481
583,2262.662
584,510.402
585,1905.552
586,366.740
587,695.252
588,760.132
589,1842.805
590,1922.201
591,135.153
592,1065.762
593,344.612
594,316.141
595,503.365
596,494.750
597,1133.124
598,688.698
599,221.867
600,1413.299
601,1121.765
602,273.479
603,1107.956
604,575.650
605,1245.173
606,1597.818
607,187.691
608,648.333
609,630.774
610,1774.045
611,1738.488
612,108.859
613,3395.801
614,2006.072
615,136.183
616,1847.338
617,585.032
618,127.473
619,372.310
620,430.578
621,959.900
622,1315.681
623,610.310
624,554.840
625,371.193
626,1832.828
627,211.740
628,1279.727
629,4662.384
630,14.644
631,4727.654
632,39.164
633,29.968
634,367.159
635,342.507
636,986.767
637,314.698
638,98.250
639,21.526
640,1895.028
641,134.229
642,1554.392
643,1624.230
644,79.818
645,1152.689
646,16.648
647,334.267
648,72.730
649,456.056
650,4933.137
651,116.015
652,39.763
653,62.152
654,861.736
655,22.840
656,35.493
657,12.247
658,577.958
659,12.844
660,316.660
661,986.808
662,2613.655
663,743.067
664,73.034
665,152.854
666,410.751
667,3073.835
668,61.211
669,177.024
670,45.044
671,40.812
672,79.855
673,254.779
674,51.840
675,109.880
676,288.753
677,12.158
678,1243.040
