i,latency_ms
0,16.353
1,21.071
2,98.155
3,104.073
4,105.230
5,107.645
6,108.957
7,108.786
8,110.729
9,108.838
10,112.558
11,111.203
12,131.360
13,130.464
14,132.362
15,132.853
16,138.065
17,138.837
18,138.753
19,140.050
20,138.341
21,141.010
22,141.113
23,142.385
24,140.530
25,142.317
26,143.088
27,145.957
28,145.580
29,151.056
30,151.331
31,151.904
32,152.518
33,156.782
34,155.472
35,157.498
36,56.112
37,159.622
38,157.696
39,159.834
40,159.234
41,160.565
42,164.178
43,164.678
44,75.923
45,176.476
46,74.953
47,81.431
48,179.933
49,182.492
50,183.097
51,184.784
52,82.339
53,80.864
54,189.688
55,84.370
56,88.269
57,85.432
58,194.746
59,88.919
60,200.165
61,199.114
62,201.125
63,202.947
64,204.275
65,205.810
66,211.953
67,88.722
68,220.537
69,222.179
70,224.152
71,229.324
72,238.515
73,240.283
74,242.225
75,243.971
76,245.973
77,249.431
78,251.929
79,254.466
80,256.582
81,258.406
82,259.579
83,126.299
84,265.309
85,267.651
86,269.686
87,271.847
88,273.978
89,276.255
90,278.871
91,281.393
92,283.644
93,285.912
94,288.489
95,290.840
96,293.175
97,296.032
98,299.031
99,301.186
100,303.873
101,306.337
102,187.517
103,321.862
104,324.531
105,327.714
106,330.557
107,333.220
108,335.890
109,338.608
110,341.340
111,344.612
112,347.563
113,347.176
114,341.635
115,211.317
116,236.803
117,217.034
118,208.669
119,212.417
120,262.895
121,194.905
122,273.271
123,288.693
124,286.650
125,128.345
126,75.864
127,287.645
128,327.993
129,370.548
130,182.234
131,205.832
132,371.533
133,218.795
134,379.750
135,399.785
136,358.179
137,260.679
138,390.956
139,458.066
140,510.459
141,312.526
142,201.733
143,504.203
144,459.233
145,574.042
146,393.951
147,585.845
148,557.976
149,398.131
150,582.807
151,519.289
152,547.733
153,597.241
154,162.598
155,117.249
156,581.160
157,477.707
158,682.300
159,326.766
160,297.899
161,642.444
162,647.455
163,212.344
164,564.500
165,752.852
166,117.863
167,233.890
168,751.374
169,464.942
170,234.301
171,743.042
172,745.419
173,778.716
174,110.420
175,962.881
176,803.627
177,140.330
178,888.600
179,876.207
180,904.457
181,281.126
182,144.583
183,1087.088
184,948.659
185,1089.153
186,897.556
187,810.484
188,142.315
189,170.957
190,647.836
191,1168.880
192,163.193
193,658.988
194,467.007
195,883.497
196,1123.237
197,1276.392
198,153.054
199,1140.656
200,1055.197
201,1194.393
202,849.447
203,181.495
204,942.557
205,1401.295
206,311.016
207,164.520
208,1344.427
209,1425.450
210,1434.139
211,869.610
212,338.936
213,160.829
214,139.228
215,421.971
216,851.505
217,660.505
218,1544.343
219,1377.217
220,1592.762
221,1630.670
222,1039.620
223,1596.651
224,1656.064
225,1492.155
226,1579.570
227,339.446
228,818.790
229,1680.630
230,1768.810
231,1140.237
232,1533.114
233,122.674
234,107.978
235,119.748
236,1778.430
