i,latency_ms
0,19.378
1,32.921
2,33.158
3,37.917
4,38.128
5,39.163
6,39.864
7,39.798
8,39.996
9,43.614
10,44.505
11,44.064
12,44.832
13,46.023
14,48.431
15,52.461
16,48.954
17,51.611
18,49.855
19,52.848
20,55.114
21,55.709
22,54.685
23,54.990
24,55.312
25,25.191
26,56.026
27,58.976
28,60.846
29,61.163
30,63.416
31,63.913
32,66.317
33,67.803
34,20.856
35,70.716
36,71.320
37,26.769
38,77.337
39,41.579
40,80.885
41,21.172
42,54.228
43,20.675
44,95.196
45,18.742
46,18.730
47,100.010
48,64.688
49,61.128
50,104.861
51,56.644
52,111.476
53,62.084
54,117.054
55,23.798
56,78.053
57,126.067
58,74.706
59,20.545
60,90.295
61,132.773
62,77.780
63,142.961
64,141.690
65,76.909
66,140.237
67,99.548
68,27.019
69,113.242
70,126.857
71,165.146
72,166.448
73,162.775
74,171.787
75,169.596
76,142.795
77,82.252
78,20.469
79,181.544
80,87.170
81,27.890
82,188.599
83,103.009
84,197.374
85,195.637
86,197.291
87,200.674
88,207.370
89,202.905
90,28.781
91,24.344
92,23.498
93,170.478
94,218.062
95,66.868
96,231.340
97,194.215
98,229.706
99,126.317
100,199.828
101,234.585
102,80.404
103,26.263
104,55.511
105,246.967
106,48.846
107,25.641
108,254.924
109,75.215
110,257.190
111,89.860
112,201.731
113,114.481
114,175.785
115,273.244
116,104.230
117,282.285
118,287.365
119,232.737
120,148.534
121,64.254
122,289.670
123,46.394
124,99.237
125,48.758
126,253.727
127,306.364
128,155.375
129,116.728
130,174.149
131,191.861
132,302.692
133,38.345
134,86.297
135,44.112
136,321.275
137,26.650
138,64.885
139,167.036
140,22.968
141,58.115
142,242.476
143,72.135
144,269.920
145,180.785
146,26.175
147,351.305
148,35.862
149,361.207
150,73.524
151,250.351
152,368.001
153,72.163
154,371.854
155,113.385
156,65.621
157,23.595
158,252.039
159,258.543
160,385.290
161,56.177
162,27.892
163,26.668
164,404.696
165,61.390
166,334.002
167,373.964
168,366.752
169,407.834
170,203.238
171,243.540
172,420.637
173,417.615
174,125.916
175,425.973
176,381.420
177,84.321
178,142.006
179,64.523
180,227.044
181,391.632
182,440.030
183,454.385
184,450.874
185,225.492
186,90.682
187,167.587
188,40.008
189,198.546
190,103.763
191,203.470
192,92.473
193,392.546
194,469.037
195,94.419
196,132.071
197,97.548
198,168.019
199,129.280
200,457.230
201,188.301
202,495.734
203,261.731
204,170.820
205,72.898
206,100.864
207,374.779
208,301.402
209,368.382
210,71.909
211,27.790
212,23.044
213,324.716
214,28.258
215,69.063
216,28.192
217,79.647
218,74.448
219,211.456
220,430.297
221,255.131
222,112.298
223,121.468
224,198.256
225,231.957
226,287.562
227,202.634
228,185.585
229,189.584
230,570.165
231,94.636
232,258.530
233,30.904
234,577.296
235,281.795
236,520.620
237,333.278
238,460.530
239,88.842
240,527.083
241,590.360
242,30.961
243,146.745
244,594.703
245,32.911
246,548.979
247,153.405
248,402.847
249,297.624
250,114.591
251,616.238
252,68.290
253,104.636
254,83.133
255,426.444
256,94.298
257,84.989
258,503.783
259,166.849
260,89.206
261,28.772
262,649.012
263,140.046
264,169.119
265,655.257
266,72.531
267,441.091
268,53.740
269,206.495
270,338.411
271,254.862
272,25.434
273,204.943
274,600.244
275,442.267
276,139.697
277,194.928
278,117.368
279,187.716
280,102.771
281,614.636
282,76.919
283,332.143
284,65.593
285,299.861
286,30.402
287,362.518
288,96.343
289,315.397
290,687.544
291,470.016
292,142.582
293,492.591
294,256.811
295,200.297
296,148.277
297,293.585
298,27.309
299,48.384
300,114.630
301,284.507
302,61.166
303,161.572
304,247.302
305,347.512
306,94.458
307,346.796
308,26.143
309,151.517
310,508.609
311,139.212
312,58.026
313,780.600
314,25.271
315,123.294
316,26.985
317,152.598
318,323.552
319,47.592
320,591.376
321,129.676
322,192.953
323,111.617
324,381.773
325,399.420
326,407.164
327,81.100
328,86.327
329,232.424
330,120.330
331,228.435
332,399.182
333,585.879
334,209.556
335,125.953
336,126.936
337,196.651
338,37.947
339,843.427
340,93.415
341,454.488
342,79.724
343,850.357
344,125.924
345,97.284
346,27.387
347,80.392
348,138.407
349,269.959
350,27.437
351,455.007
352,22.404
353,738.988
354,398.975
355,255.599
356,27.529
357,204.566
358,382.986
359,611.627
360,68.670
361,28.686
362,270.803
363,608.679
364,94.840
365,84.391
366,397.140
367,400.341
368,217.023
369,84.331
370,164.809
371,257.362
372,368.351
373,31.377
374,337.599
375,148.326
376,265.815
377,129.075
378,503.846
379,264.702
380,153.994
381,48.120
382,178.776
383,34.578
384,565.523
385,263.011
386,205.570
387,484.874
388,61.148
389,309.631
390,399.899
391,30.313
392,73.241
393,554.678
394,60.806
395,30.055
396,22.547
397,344.707
398,64.282
399,173.047
400,277.404
401,225.986
402,170.043
403,29.426
404,247.325
405,1007.360
406,465.492
407,359.784
408,88.904
409,34.851
410,155.854
411,968.186
412,271.604
413,180.989
414,233.508
415,582.504
416,236.677
417,344.801
418,134.974
419,85.544
420,170.564
421,127.330
422,272.009
423,82.654
424,214.358
425,133.383
426,62.533
427,132.455
428,114.510
429,57.480
430,242.491
431,412.380
432,333.741
433,192.873
434,160.071
435,238.768
436,553.355
437,26.705
438,234.829
439,442.116
440,269.865
441,27.433
442,155.835
443,246.723
444,86.666
445,98.906
446,491.323
447,26.163
448,156.090
449,343.997
450,133.495
451,216.228
452,217.167
453,302.515
454,323.825
455,124.651
456,238.958
457,249.224
458,29.870
459,65.649
460,406.265
461,70.028
462,131.448
463,524.068
464,26.967
465,95.367
466,71.545
467,205.112
468,467.632
469,660.866
470,25.882
471,484.430
472,424.174
473,1079.553
474,89.068
475,697.934
476,101.889
477,492.569
478,633.035
479,267.524
480,224.416
481,289.366
482,85.217
483,180.574
484,276.028
485,235.452
486,260.673
487,414.828
488,94.026
489,126.411
490,212.289
491,630.254
492,367.998
493,31.070
494,912.079
495,114.834
496,113.848
497,1188.795
498,141.292
499,289.700
500,122.796
501,764.394
