i,latency_ms
0,26.586
1,32.980
2,38.487
3,38.624
4,69.369
5,96.220
6,95.465
7,95.791
8,188.237
9,92.382
10,190.081
11,192.396
12,186.589
13,187.826
14,127.465
15,314.867
16,351.639
17,162.153
18,161.962
19,134.053
20,134.549
21,449.524
22,451.936
23,452.051
24,471.516
25,45.941
26,44.744
27,78.585
28,340.802
29,550.652
30,80.572
31,552.413
32,78.968
33,576.924
34,80.622
35,610.869
36,575.528
37,82.078
38,103.268
39,658.134
40,658.277
41,83.481
42,659.210
43,663.890
44,665.073
45,54.010
46,52.988
47,216.204
48,665.375
49,53.468
50,665.165
51,667.725
52,671.161
53,35.013
54,687.474
55,30.246
56,28.777
57,32.829
58,653.756
59,689.699
60,695.124
61,30.791
62,697.984
63,203.303
64,697.238
65,696.957
66,15.539
67,15.144
68,15.352
69,131.406
70,705.314
71,14.371
72,14.401
73,11.042
74,78.841
75,714.806
76,47.276
77,51.745
78,49.905
79,719.267
80,690.626
81,18.418
82,170.234
83,725.772
84,23.535
85,725.702
86,21.602
87,21.370
88,62.503
89,23.287
90,727.989
91,71.493
92,20.382
93,179.977
94,64.841
95,35.924
96,21.903
97,26.961
98,736.757
99,22.969
100,74.379
101,741.674
102,740.496
103,24.958
104,741.995
105,746.713
106,394.988
107,58.181
108,748.513
109,560.339
110,88.549
111,753.177
112,754.907
113,754.562
114,758.141
115,98.086
116,667.627
117,81.089
118,779.606
119,780.243
120,779.092
121,84.863
122,597.119
123,124.618
124,94.106
125,126.613
126,793.327
127,75.251
128,80.196
129,802.620
130,804.904
131,454.954
132,115.629
133,89.795
134,113.431
135,814.090
136,814.750
137,817.114
138,123.364
139,105.524
140,372.568
141,823.851
142,109.135
143,485.978
144,837.518
145,839.357
146,751.326
147,126.467
148,847.149
149,848.244
150,848.963
151,853.305
152,854.662
153,858.674
154,860.027
155,861.415
156,865.602
157,865.894
158,870.058
159,872.135
160,873.718
161,876.451
162,878.326
163,880.765
164,884.816
165,885.687
166,168.861
167,899.043
168,901.480
169,904.176
170,907.394
171,822.280
172,912.740
173,915.408
174,918.063
175,922.056
176,924.052
177,927.058
178,929.936
179,932.812
180,935.597
181,939.294
182,942.136
183,945.034
184,948.164
185,238.844
186,220.406
187,254.386
188,274.652
189,194.894
190,120.808
191,297.035
192,260.711
193,65.646
194,341.160
195,279.841
196,184.321
197,190.304
198,87.223
199,395.965
200,318.934
201,248.083
202,254.947
203,436.209
204,353.773
205,467.194
206,449.629
207,480.614
208,415.080
209,291.849
210,468.436
211,463.886
212,450.375
213,105.916
214,462.945
215,388.412
216,476.154
217,343.294
218,540.397
219,104.878
220,624.543
221,579.270
222,549.105
223,567.117
224,673.051
225,590.118
226,606.685
227,732.695
228,600.804
229,335.162
230,505.943
231,484.543
232,772.347
233,115.668
234,684.784
235,199.718
236,541.524
237,727.445
238,618.555
239,794.089
240,867.356
241,839.817
242,888.455
243,118.886
244,865.218
245,922.902
246,809.615
247,869.013
248,943.095
249,824.590
250,921.898
251,861.703
252,111.328
253,406.584
254,985.575
255,1067.621
256,926.014
257,269.573
258,943.092
259,140.870
260,1153.747
261,1022.351
262,462.626
263,701.166
264,1025.227
265,1126.249
266,818.532
267,805.311
268,130.841
269,306.063
270,1075.353
271,771.651
272,842.278
273,1082.878
274,1148.343
275,232.920
276,111.653
277,1212.836
278,840.290
279,508.947
280,1333.993
281,1177.252
282,1237.195
283,1289.660
284,877.549
285,494.335
286,104.133
287,228.722
288,91.885
289,1270.081
290,344.469
291,1243.522
292,298.560
293,95.769
294,1480.021
295,859.944
296,164.668
297,238.367
298,1475.121
299,1540.419
300,853.521
301,739.202
302,1135.853
303,332.646
304,604.702
305,1420.379
306,171.974
307,264.254
308,215.167
309,341.235
310,1499.016
311,230.846
312,1661.368
313,341.888
314,1411.697
315,1548.022
316,595.081
317,547.392
318,334.815
319,263.077
320,507.840
321,125.959
322,1669.230
323,124.806
324,912.282
325,699.407
326,1250.958
327,1879.696
328,1838.091
329,937.210
330,1832.814
331,480.887
332,1088.652
333,1393.528
334,1365.156
335,636.150
336,277.238
337,110.290
338,530.541
339,111.339
340,1478.648
341,1523.999
342,255.468
343,1749.074
344,969.184
345,317.253
346,1351.153
347,924.072
348,1515.275
349,1079.880
350,1773.834
351,593.617
352,928.152
353,1823.784
354,2025.526
355,2001.909
356,1208.447
357,926.200
358,95.882
359,1522.261
360,1317.195
361,120.507
362,2216.633
363,655.668
364,2251.455
365,396.398
366,103.931
367,492.417
368,836.353
369,2233.560
370,422.008
371,2288.551
372,1489.825
373,299.958
374,317.708
375,1763.340
376,1107.691
377,100.342
378,2500.732
379,1687.783
380,412.271
381,2534.293
382,798.257
383,977.360
384,778.340
385,632.772
386,358.711
387,994.163
388,162.823
389,436.294
390,373.851
391,931.876
392,798.922
393,365.288
394,944.116
395,1767.925
396,720.106
397,1091.830
398,466.096
399,1558.719
400,2039.776
401,1080.410
402,1124.909
403,2865.612
404,362.057
405,2423.914
406,1598.044
407,2537.767
408,620.822
409,714.819
410,903.358
411,369.580
412,2241.078
413,2966.618
414,869.747
415,816.023
416,1207.598
417,518.727
418,809.664
419,2499.760
420,1881.205
421,782.250
422,1333.967
423,3122.777
424,1539.315
425,2633.251
426,744.581
427,3058.994
428,2200.703
429,486.176
430,638.126
431,711.930
432,1351.584
433,1874.110
434,1379.288
435,921.171
436,1429.954
437,653.094
438,707.995
439,989.058
440,1886.487
441,359.011
442,3247.033
443,569.349
444,1027.353
445,1332.359
446,691.401
447,2379.776
448,181.394
449,413.180
450,595.471
451,434.760
452,162.169
453,3508.353
454,1451.726
455,1318.061
456,920.119
457,537.719
458,491.885
459,3384.177
460,142.186
461,710.474
462,1301.858
463,132.839
464,662.426
465,1220.117
466,128.951
467,117.389
468,859.280
469,1135.964
470,2275.651
471,710.506
472,388.417
473,3796.578
474,2586.269
475,1467.727
476,697.319
477,1424.228
478,945.627
479,1171.528
480,260.138
481,192.264
482,131.888
483,332.979
484,465.221
485,649.133
486,1364.984
