i,latency_ms
0,20.355
1,35.752
2,38.105
3,34.471
4,42.437
5,42.288
6,47.039
7,46.156
8,48.171
9,48.068
10,49.461
11,49.590
12,50.667
13,52.473
14,52.991
15,54.087
16,54.914
17,55.123
18,55.061
19,55.284
20,26.859
21,60.727
22,28.057
23,61.916
24,62.096
25,64.736
26,63.029
27,65.674
28,65.613
29,69.103
30,28.803
31,71.212
32,71.884
33,75.143
34,74.714
35,77.380
36,81.348
37,37.112
38,37.114
39,37.062
40,35.363
41,91.769
42,33.950
43,35.175
44,100.834
45,101.831
46,36.540
47,108.380
48,64.291
49,65.639
50,30.410
51,61.123
52,123.100
53,66.518
54,35.723
55,79.874
56,145.443
57,144.995
58,149.647
59,86.119
60,31.468
61,158.621
62,57.528
63,120.562
64,122.895
65,115.097
66,166.268
67,69.494
68,171.664
69,30.913
70,179.303
71,116.232
72,39.726
73,41.212
74,66.909
75,194.386
76,238.005
77,238.806
78,241.711
79,75.025
80,247.182
81,215.644
82,87.217
83,200.957
84,259.269
85,201.263
86,108.996
87,270.786
88,26.636
89,276.310
90,27.751
91,279.447
92,130.379
93,43.402
94,185.229
95,113.208
96,293.992
97,22.845
98,106.989
99,43.964
100,302.272
101,313.737
102,196.536
103,316.229
104,58.415
105,186.211
106,239.734
107,25.574
108,159.637
109,332.647
110,333.153
111,338.518
112,339.656
113,340.968
114,157.626
115,67.762
116,259.683
117,160.518
118,296.162
119,360.658
120,31.422
121,321.480
122,23.816
123,75.429
124,91.378
125,190.491
126,388.769
127,117.220
128,25.307
129,340.673
130,281.961
131,348.931
132,103.499
133,62.271
134,328.765
135,403.224
136,414.663
137,416.596
138,61.851
139,413.674
140,60.744
141,27.827
142,350.385
143,113.346
144,48.932
145,315.595
146,434.495
147,370.770
148,439.942
149,406.058
150,60.480
151,280.716
152,450.700
153,24.538
154,179.505
155,384.805
156,21.242
157,158.172
158,109.710
159,153.019
160,100.373
161,93.860
162,485.518
163,55.255
164,27.449
165,448.131
166,146.547
167,152.249
168,31.339
169,215.172
170,506.654
171,431.045
172,349.776
173,146.140
174,464.185
175,252.051
176,286.791
177,91.628
178,143.972
179,392.331
180,422.866
181,541.639
182,488.985
183,144.751
184,30.431
185,555.518
186,308.460
187,28.420
188,286.011
189,245.787
190,105.222
191,154.251
192,233.592
193,60.154
194,288.593
195,579.289
196,30.634
197,583.049
198,34.040
199,269.803
200,585.034
201,590.249
202,152.504
203,603.848
204,77.443
205,601.510
206,370.684
207,206.216
208,126.969
209,426.652
210,327.357
211,62.873
212,133.277
213,168.420
214,115.035
215,33.960
216,634.694
217,262.323
218,151.349
219,644.466
220,142.590
221,646.324
222,214.884
223,655.715
224,205.557
225,659.131
226,244.921
227,72.996
228,636.832
229,32.538
230,266.464
231,92.075
232,32.793
233,378.163
234,361.332
235,33.969
236,690.784
237,543.113
238,163.830
239,30.170
240,234.759
241,160.998
242,136.136
243,706.454
244,311.619
245,216.534
246,260.258
247,33.996
248,317.475
249,448.032
250,30.261
251,121.286
252,724.891
253,145.859
254,396.261
255,310.310
256,572.987
257,83.753
258,313.035
259,746.272
260,225.352
261,98.250
262,437.834
263,387.572
264,32.665
265,97.717
266,141.307
267,767.204
268,43.412
269,758.948
270,776.836
271,244.446
272,102.029
273,298.419
274,169.645
275,227.184
276,181.427
277,222.402
278,142.737
279,68.959
280,166.870
281,312.045
282,111.474
283,84.828
284,822.657
285,235.656
286,203.026
287,103.859
288,169.182
289,257.394
290,394.445
291,207.527
292,31.172
293,226.024
294,97.196
295,720.080
296,187.183
297,295.083
298,259.629
299,60.273
300,860.728
301,152.908
302,32.204
303,401.470
304,289.677
305,402.326
306,268.633
307,375.056
308,31.672
309,204.864
310,31.429
311,185.519
312,362.135
313,150.844
314,901.821
315,459.670
316,293.133
317,294.419
318,353.980
319,163.898
320,76.497
321,186.832
322,512.971
323,166.395
324,584.996
325,299.127
326,239.733
327,164.943
328,887.700
329,374.786
330,954.116
331,168.807
332,83.729
333,198.098
334,185.829
335,135.123
336,260.841
337,79.979
338,402.013
339,290.846
340,69.778
341,814.700
342,473.977
343,66.871
344,34.810
345,118.010
346,31.864
347,141.392
348,135.707
349,444.961
350,31.126
351,242.518
352,72.088
353,52.991
354,430.874
355,685.376
356,147.046
357,303.236
358,953.814
359,1026.494
360,32.138
361,32.090
362,29.160
363,141.277
364,117.170
365,961.067
366,279.304
367,234.229
368,142.536
369,67.807
370,219.695
371,382.610
372,115.862
373,369.902
374,145.847
375,326.650
376,37.311
377,31.096
378,166.035
379,103.355
380,90.804
381,302.087
382,225.960
383,66.564
384,31.586
385,254.860
386,282.715
387,373.570
388,65.130
389,509.052
390,289.669
391,311.825
392,189.605
393,180.013
394,702.989
395,109.979
396,179.868
397,431.708
398,32.410
399,78.296
400,33.080
401,34.672
402,371.731
403,82.646
404,131.230
405,236.266
406,107.626
407,222.167
408,585.578
409,32.784
410,92.341
411,32.101
412,487.917
413,364.748
414,34.672
415,284.957
416,178.011
417,300.378
418,705.851
419,728.611
420,413.933
421,122.936
422,329.760
423,32.912
424,157.855
425,421.391
426,32.517
427,402.973
428,295.978
429,174.386
430,163.011
431,391.522
432,38.929
433,484.180
434,132.312
435,88.591
436,86.439
437,434.909
438,236.136
439,428.383
440,76.965
441,143.470
442,238.533
443,47.851
444,32.756
445,112.368
446,504.501
447,29.725
448,393.822
449,156.281
450,167.281
451,423.079
452,408.726
453,32.986
454,325.049
455,200.370
456,98.355
457,33.717
458,525.944
459,78.538
460,27.623
461,127.009
462,1078.703
463,109.680
464,429.822
465,137.124
466,594.477
467,176.151
468,256.955
469,318.033
470,133.630
471,116.572
472,224.930
473,93.164
474,389.931
475,24.113
476,1362.648
477,480.074
478,296.781
479,149.128
480,101.211
481,322.838
482,725.793
483,149.184
484,83.520
485,109.568
486,245.252
487,324.669
488,35.789
489,465.116
490,371.559
491,99.956
492,108.229
493,244.926
494,77.415
495,125.564
496,142.941
497,553.997
498,30.603
499,456.172
500,77.258
501,81.707
502,52.774
503,302.601
504,150.289
505,164.932
506,104.986
507,159.393
508,106.907
509,768.500
510,100.959
511,1167.769
512,1060.584
513,173.990
514,768.584
515,51.813
516,380.601
517,140.248
518,362.105
519,309.331
520,250.619
521,238.644
522,410.127
523,119.900
524,128.875
525,29.581
526,294.900
527,261.035
528,469.197
529,67.612
530,493.350
531,455.584
532,111.738
533,55.961
534,280.664
535,155.717
536,133.422
537,733.856
538,168.384
539,349.377
540,91.721
541,290.172
542,144.176
543,50.821
544,30.797
545,218.636
546,54.278
547,556.009
548,871.711
549,109.381
550,254.482
551,169.079
552,130.359
553,505.621
554,329.290
555,142.272
556,33.351
557,93.872
558,276.514
559,29.612
560,169.450
561,318.643
562,105.825
563,96.643
564,448.531
565,286.369
566,122.785
567,199.578
568,904.674
569,507.975
570,764.437
571,67.423
572,284.866
573,1084.933
574,400.342
575,28.238
576,283.450
577,335.159
578,663.826
579,176.010
580,747.717
581,108.204
582,208.249
583,968.792
584,96.871
585,69.346
586,142.009
587,997.252
588,59.656
589,24.886
590,166.866
591,472.290
592,718.735
593,26.663
594,118.094
595,195.537
596,262.320
597,254.901
598,21.905
599,561.102
600,28.166
601,213.542
602,1071.159
603,390.016
604,539.332
605,73.169
606,636.432
607,58.886
608,115.143
609,142.679
610,316.304
611,134.278
612,500.428
613,326.734
614,31.152
615,170.416
616,206.250
617,59.884
618,752.850
619,345.532
620,61.247
621,130.800
622,95.835
623,209.040
624,207.330
625,388.194
626,459.451
627,31.792
628,81.655
629,503.386
630,150.839
631,345.294
632,31.033
633,159.500
634,28.274
635,308.407
636,122.373
637,34.439
638,754.560
639,420.868
640,437.113
641,99.813
642,179.632
643,337.038
