i,latency_ms
0,16.352
1,21.061
2,31.175
3,49.577
4,50.412
5,54.974
6,71.686
7,71.933
8,72.052
9,72.375
10,72.493
11,72.720
12,76.204
13,76.913
14,77.619
15,78.617
16,78.401
17,79.249
18,80.140
19,80.912
20,83.526
21,83.878
22,89.662
23,88.858
24,88.892
25,91.358
26,93.112
27,92.722
28,92.246
29,93.551
30,67.839
31,95.659
32,98.639
33,97.660
34,99.964
35,98.959
36,104.874
37,107.359
38,107.817
39,108.332
40,108.733
41,116.634
42,118.100
43,70.911
44,71.892
45,122.182
46,68.767
47,124.333
48,125.831
49,126.003
50,128.171
51,134.523
52,138.879
53,139.562
54,142.019
55,143.418
56,145.306
57,146.152
58,148.916
59,150.137
60,151.874
61,153.269
62,153.958
63,155.576
64,158.250
65,159.823
66,162.131
67,164.274
68,102.982
69,173.317
70,175.065
71,179.012
72,181.089
73,112.426
74,184.979
75,185.808
76,188.759
77,190.609
78,191.563
79,195.549
80,197.564
81,198.863
82,201.813
83,204.283
84,139.896
85,216.399
86,219.061
87,221.271
88,223.304
89,226.061
90,160.808
91,238.801
92,164.118
93,160.032
94,254.147
95,256.711
96,268.144
97,166.012
98,283.628
99,233.499
100,310.901
101,313.548
102,140.534
103,327.017
104,329.908
105,260.310
106,100.441
107,257.649
108,265.178
109,99.056
110,265.899
111,329.239
112,112.049
113,234.565
114,315.156
115,355.442
116,459.529
117,391.460
118,387.016
119,341.101
120,380.576
121,499.052
122,489.369
123,429.442
124,442.967
125,432.563
126,344.497
127,496.943
128,372.681
129,347.539
130,466.037
131,617.373
132,313.039
133,411.660
134,199.413
135,663.232
136,169.399
137,502.562
138,536.131
139,463.238
140,383.435
141,396.362
142,675.073
143,653.479
144,572.543
145,104.513
146,574.315
147,207.464
148,657.613
149,817.754
150,166.703
151,702.647
152,871.690
153,126.627
154,215.165
155,481.259
156,772.185
157,839.200
158,829.416
159,922.035
160,819.141
161,127.161
162,900.366
163,795.460
164,898.296
165,789.774
166,904.101
167,250.402
168,107.166
169,848.518
170,862.760
171,258.577
172,342.908
173,746.318
174,578.047
175,638.983
176,496.479
177,642.537
178,422.183
179,857.603
180,952.605
181,969.575
182,128.856
183,600.382
184,1061.678
185,591.949
186,1041.349
187,914.624
188,418.975
189,1069.187
190,405.754
191,1200.247
192,129.235
193,1286.837
194,160.074
195,429.956
196,1218.417
197,1208.966
198,112.522
199,376.256
200,420.201
201,428.556
202,1262.506
203,677.005
204,1240.340
205,1264.520
206,956.814
207,1317.265
208,95.745
209,1330.704
210,132.299
211,1332.469
212,1421.844
213,1118.891
214,1271.081
215,1329.000
216,1297.188
217,642.912
218,1170.762
219,841.754
220,1339.407
221,1056.535
222,326.136
223,466.253
224,516.926
225,193.305
226,101.408
227,1570.205
228,1562.380
229,753.044
230,1576.404
231,716.955
232,748.951
233,498.739
234,185.272
235,92.343
236,216.775
237,447.330
238,1588.300
239,276.646
240,701.974
241,1038.669
242,1005.960
243,1066.318
244,444.740
245,1486.948
246,1754.107
247,1441.625
248,658.452
249,1665.186
250,587.606
251,846.049
252,883.973
253,1358.511
254,1875.557
255,467.852
256,589.161
257,1563.148
