i,latency_ms
0,17.870
1,96.021
2,129.167
3,200.180
4,260.996
5,435.172
6,531.510
7,586.067
8,606.560
9,610.912
10,610.566
11,670.912
12,675.647
13,675.582
14,691.957
15,695.900
16,697.427
17,698.217
18,699.635
19,703.752
20,703.006
21,705.786
22,31.882
23,31.500
24,174.173
25,708.497
26,707.331
27,711.305
28,16.535
29,712.282
30,709.109
31,714.103
32,714.116
33,12.601
34,109.186
35,19.657
36,19.896
37,728.742
38,18.686
39,24.142
40,66.001
41,150.348
42,609.386
43,741.743
44,739.910
45,744.676
46,13.548
47,746.475
48,745.332
49,744.564
50,48.521
51,748.165
52,750.103
53,142.679
54,751.851
55,551.382
56,749.235
57,18.481
58,659.392
59,142.241
60,58.375
61,755.689
62,49.742
63,75.336
64,773.248
65,774.829
66,775.091
67,46.929
68,786.202
69,525.762
70,787.125
71,46.659
72,786.129
73,72.507
74,47.498
75,72.797
76,78.452
77,48.786
78,49.593
79,85.905
80,793.687
81,45.972
82,87.100
83,798.637
84,364.630
85,49.039
86,51.987
87,48.981
88,802.199
89,803.184
90,90.574
91,806.743
92,806.906
93,34.076
94,811.722
95,35.619
96,817.431
97,110.345
98,817.659
99,35.632
100,819.065
101,102.057
102,823.850
103,824.931
104,132.366
105,123.179
106,100.639
107,128.963
108,110.146
109,101.373
110,136.250
111,839.190
112,841.390
113,100.443
114,101.016
115,100.149
116,110.019
117,98.646
118,119.621
119,100.735
120,105.251
121,115.069
122,863.407
123,865.156
124,120.189
125,869.196
126,121.295
127,872.150
128,102.466
129,103.992
130,128.138
131,133.830
132,102.283
133,885.180
134,109.816
135,898.194
136,901.209
137,902.134
138,904.099
139,907.181
140,907.422
141,909.692
142,911.916
143,916.175
144,918.492
145,920.518
146,923.044
147,923.705
148,926.825
149,930.880
150,931.779
151,934.081
152,936.638
153,940.850
154,942.456
155,945.127
156,947.638
157,951.136
158,952.718
159,955.484
160,958.796
161,962.572
162,964.421
163,967.210
164,970.277
165,196.097
166,984.222
167,986.900
168,990.270
169,985.919
170,996.691
171,204.422
172,212.841
173,221.409
174,207.381
175,268.924
176,184.522
177,109.870
178,307.216
179,300.620
180,316.322
181,306.619
182,291.227
183,354.066
184,325.998
185,184.928
186,273.991
187,158.346
188,420.960
189,434.344
190,337.783
191,418.551
192,485.493
193,463.359
194,475.523
195,375.677
196,109.818
197,318.864
198,409.496
199,544.460
200,537.244
201,569.362
202,429.512
203,88.437
204,527.427
205,616.962
206,559.650
207,606.024
208,486.250
209,658.565
210,564.150
211,641.755
212,114.618
213,231.089
214,661.598
215,574.024
216,639.882
217,89.979
218,97.924
219,369.401
220,594.060
221,627.450
222,244.101
223,685.936
224,129.608
225,758.717
226,646.475
227,860.139
228,885.519
229,752.342
230,916.075
231,509.816
232,567.398
233,641.629
234,817.411
235,833.060
236,846.751
237,978.341
238,1012.049
239,928.224
240,567.457
241,929.268
242,721.707
243,822.839
244,1025.779
245,1080.343
246,253.662
247,337.941
248,106.065
249,787.785
250,1019.751
251,1079.156
252,1065.712
253,952.426
254,219.023
255,1041.738
256,1025.052
257,582.605
258,431.351
259,1251.509
260,1255.331
261,1215.902
262,293.551
263,1230.115
264,1138.679
265,1020.558
266,1163.858
267,132.034
268,314.090
269,299.734
270,636.254
271,652.474
272,1107.253
273,825.927
274,656.877
275,1385.287
276,743.891
277,1402.511
278,292.751
279,1437.114
280,379.205
281,882.091
282,1451.525
283,121.845
284,1499.079
285,1179.363
286,1568.180
287,359.755
288,114.746
289,772.369
290,1588.802
291,730.681
292,1088.415
293,1211.437
294,1453.619
295,106.850
296,557.999
297,977.991
298,922.195
299,1659.345
300,1618.849
301,109.491
302,1581.065
303,857.068
304,318.037
305,1755.268
306,710.246
