i,latency_ms
0,15.778
1,19.159
2,67.882
3,72.341
4,72.342
5,71.410
6,72.641
7,71.307
8,77.331
9,80.429
10,79.779
11,81.158
12,81.158
13,80.684
14,81.205
15,83.394
16,83.393
17,82.026
18,84.814
19,85.280
20,86.751
21,88.142
22,90.265
23,90.628
24,94.650
25,92.589
26,92.015
27,96.264
28,95.019
29,98.289
30,99.939
31,99.756
32,106.545
33,106.613
34,107.317
35,108.338
36,109.503
37,111.943
38,111.869
39,113.043
40,114.751
41,116.796
42,125.314
43,124.665
44,126.083
45,127.422
46,129.063
47,130.337
48,131.722
49,133.102
50,133.765
51,136.993
52,142.334
53,143.887
54,145.731
55,147.164
56,148.490
57,157.032
58,158.966
59,160.749
60,161.499
61,164.203
62,164.954
63,167.797
64,168.620
65,171.729
66,173.728
67,175.861
68,177.720
69,178.830
70,181.735
71,182.985
72,186.070
73,187.400
74,190.680
75,199.275
76,201.638
77,203.180
78,206.459
79,208.495
80,210.990
81,213.087
82,214.428
83,217.587
84,220.422
85,222.905
86,225.146
87,227.768
88,230.162
89,232.604
90,235.215
91,162.421
92,164.874
93,255.210
94,266.193
95,269.454
96,178.214
97,151.052
98,293.109
99,225.287
100,139.143
101,341.660
102,275.208
103,270.354
104,302.701
105,266.353
106,291.949
107,330.040
108,408.921
109,352.621
110,425.358
111,223.847
112,340.128
113,387.261
114,92.366
115,213.087
116,401.974
117,285.073
118,435.589
119,415.429
120,179.288
121,295.447
122,287.020
123,420.666
124,511.387
125,381.731
126,236.730
127,628.194
128,504.373
129,488.433
130,569.146
131,494.160
132,595.495
133,228.725
134,581.570
135,594.055
136,502.529
137,568.572
138,112.103
139,594.949
140,693.383
141,718.636
142,512.906
143,751.852
144,460.500
145,642.957
146,381.140
147,625.025
148,678.036
149,423.768
150,832.358
151,173.297
152,355.861
153,796.239
154,269.858
155,787.534
156,801.739
157,397.151
158,857.591
159,934.967
160,948.616
161,176.583
162,621.217
163,640.092
164,822.098
165,625.697
166,977.516
167,913.219
168,127.724
169,285.462
170,622.407
171,900.855
172,990.606
173,485.069
174,1096.723
175,1053.230
176,957.280
177,363.672
178,1128.351
179,305.425
180,1023.774
181,285.219
182,1094.371
183,764.465
184,308.913
185,272.797
186,1226.443
187,989.705
188,333.562
189,1270.747
190,1230.936
191,1097.204
192,734.446
193,156.607
194,631.286
195,766.467
196,926.462
197,1221.003
198,750.750
199,725.898
200,1173.807
201,1389.228
202,816.600
203,877.566
204,136.306
205,1173.084
206,339.100
207,1426.536
208,987.956
209,1405.392
210,1400.603
211,1071.919
212,1401.516
213,448.070
214,107.862
215,464.262
216,725.486
217,410.734
218,115.154
219,1583.027
220,1468.233
221,1634.746
222,209.994
223,1703.778
224,1595.080
225,138.118
226,610.010
227,309.942
228,126.910
229,1207.874
230,445.939
231,394.257
232,1689.566
233,1638.576
234,121.068
235,797.592
236,798.400
237,632.457
238,1262.985
239,356.580
240,122.067
241,104.145
242,967.576
243,1770.331
244,491.728
245,722.384
246,338.282
247,869.572
248,108.939
249,675.181
250,1005.780
251,334.816
252,1916.602
253,477.828
254,662.977
255,567.245
256,1683.322
257,450.409
258,794.714
259,347.172
260,593.992
261,476.889
262,2074.964
263,1078.926
264,2056.451
265,1914.771
266,444.498
267,141.927
268,416.524
269,311.492
270,2149.853
271,401.818
272,577.915
273,1508.405
274,265.770
275,1464.486
276,248.729
277,434.708
278,573.098
279,2170.650
280,138.892
281,1020.945
282,1762.995
283,543.647
284,497.209
285,572.790
286,935.077
287,1650.057
288,2475.604
289,1201.017
290,2375.940
291,1084.491
292,133.571
293,1274.298
294,1728.326
295,1482.440
