run_id,broker,profile,msg_size,rate,duration,producers,consumers,sent_total,consumed_unique_total,duplicate_count,lost_total,publish_errors,consume_errors,throughput_msg_sec,avg_latency_ms,p95_latency_ms,max_latency_ms,backlog_peak,degraded,backlog_growing,p95_over_baseline,errors_stable,repeated_loss_candidate,started_at_iso,finished_at_iso
20260428_091321_rabbitmq_baseline_128b_1000r_1,rabbitmq,baseline,128,1000,8,2,2,7847,7847,0,0,0,0,980.875,6.571,12.144,60.734,20,False,False,False,False,False,2026-04-28T09:13:21Z,2026-04-28T09:13:30Z
20260428_091330_rabbitmq_stress_128b_1000r_1,rabbitmq,stress,128,1000,8,2,2,8000,8000,0,0,0,0,1000.0,6.157,11.636,54.709,10,False,False,False,False,False,2026-04-28T09:13:30Z,2026-04-28T09:13:39Z
20260428_091339_rabbitmq_baseline_128b_5000r_1,rabbitmq,baseline,128,5000,8,2,2,11789,11789,0,0,0,0,1473.625,5.787,12.329,60.092,20,False,False,False,False,False,2026-04-28T09:13:39Z,2026-04-28T09:13:48Z
20260428_091348_rabbitmq_stress_128b_5000r_1,rabbitmq,stress,128,5000,8,2,2,11970,11970,0,0,0,0,1496.25,5.746,12.166,59.203,13,False,False,False,False,False,2026-04-28T09:13:48Z,2026-04-28T09:13:57Z
20260428_091357_rabbitmq_baseline_128b_10000r_1,rabbitmq,baseline,128,10000,8,2,2,11853,11853,0,0,0,0,1481.625,5.752,12.423,60.145,10,False,False,False,False,False,2026-04-28T09:13:57Z,2026-04-28T09:14:06Z
20260428_091406_rabbitmq_stress_128b_10000r_1,rabbitmq,stress,128,10000,8,2,2,12467,12467,0,0,0,0,1558.375,5.339,12.283,52.826,21,False,False,False,False,False,2026-04-28T09:14:06Z,2026-04-28T09:14:15Z
20260428_091415_rabbitmq_baseline_1024b_1000r_1,rabbitmq,baseline,1024,1000,8,2,2,8000,8000,0,0,0,0,1000.0,6.637,12.138,58.75,12,False,False,False,False,False,2026-04-28T09:14:15Z,2026-04-28T09:14:24Z
20260428_091424_rabbitmq_stress_1024b_1000r_1,rabbitmq,stress,1024,1000,8,2,2,8000,8000,0,0,0,0,1000.0,6.193,11.676,53.522,8,False,False,False,False,False,2026-04-28T09:14:24Z,2026-04-28T09:14:34Z
20260428_091434_rabbitmq_baseline_1024b_5000r_1,rabbitmq,baseline,1024,5000,8,2,2,13901,13901,0,0,0,0,1737.625,4.062,12.327,60.546,15,False,False,False,False,False,2026-04-28T09:14:34Z,2026-04-28T09:14:43Z
20260428_091443_rabbitmq_stress_1024b_5000r_1,rabbitmq,stress,1024,5000,8,2,2,13519,13519,0,0,0,0,1689.875,4.72,12.518,55.233,27,False,False,False,False,False,2026-04-28T09:14:43Z,2026-04-28T09:14:52Z
20260428_091452_rabbitmq_baseline_1024b_10000r_1,rabbitmq,baseline,1024,10000,8,2,2,14141,14141,0,0,0,0,1767.625,4.334,12.581,59.495,14,False,False,False,False,False,2026-04-28T09:14:52Z,2026-04-28T09:15:01Z
20260428_091501_rabbitmq_stress_1024b_10000r_1,rabbitmq,stress,1024,10000,8,2,2,13178,13178,0,0,0,0,1647.25,4.832,12.757,63.794,14,False,False,False,False,False,2026-04-28T09:15:01Z,2026-04-28T09:15:10Z
20260428_091510_rabbitmq_baseline_10240b_1000r_1,rabbitmq,baseline,10240,1000,8,2,2,7995,7995,0,0,0,0,999.375,6.262,11.576,62.973,10,False,False,False,False,False,2026-04-28T09:15:10Z,2026-04-28T09:15:19Z
20260428_091519_rabbitmq_stress_10240b_1000r_1,rabbitmq,stress,10240,1000,8,2,2,8000,8000,0,0,0,0,1000.0,6.479,12.225,60.996,10,False,False,False,False,False,2026-04-28T09:15:19Z,2026-04-28T09:15:28Z
20260428_091528_rabbitmq_baseline_10240b_5000r_1,rabbitmq,baseline,10240,5000,8,2,2,13394,13394,0,0,0,0,1674.25,4.584,13.131,63.255,11,False,False,False,False,False,2026-04-28T09:15:28Z,2026-04-28T09:15:37Z
20260428_091537_rabbitmq_stress_10240b_5000r_1,rabbitmq,stress,10240,5000,8,2,2,11965,11965,0,0,0,0,1495.625,4.982,13.431,67.218,7,False,False,False,False,False,2026-04-28T09:15:37Z,2026-04-28T09:15:47Z
20260428_091547_rabbitmq_baseline_10240b_10000r_1,rabbitmq,baseline,10240,10000,8,2,2,12998,12998,0,0,0,0,1624.75,4.724,13.665,65.279,19,False,False,False,False,False,2026-04-28T09:15:47Z,2026-04-28T09:15:57Z
20260428_091557_rabbitmq_stress_10240b_10000r_1,rabbitmq,stress,10240,10000,8,2,2,13228,13228,0,0,0,0,1653.5,4.526,12.819,56.318,7,False,False,False,False,False,2026-04-28T09:15:57Z,2026-04-28T09:16:06Z
20260428_091606_rabbitmq_baseline_102400b_1000r_1,rabbitmq,baseline,102400,1000,8,2,2,5941,5941,0,0,0,0,742.625,243.663,699.517,771.616,681,False,False,False,False,False,2026-04-28T09:16:06Z,2026-04-28T09:16:15Z
20260428_091615_rabbitmq_stress_102400b_1000r_1,rabbitmq,stress,102400,1000,8,2,2,7559,7559,0,0,0,0,944.875,121.777,419.178,469.844,333,False,False,False,False,False,2026-04-28T09:16:15Z,2026-04-28T09:16:24Z
20260428_091624_rabbitmq_baseline_102400b_5000r_1,rabbitmq,baseline,102400,5000,8,2,2,7218,7218,0,0,0,0,902.25,522.513,920.941,993.338,992,False,False,False,False,False,2026-04-28T09:16:24Z,2026-04-28T09:16:34Z
20260428_091634_rabbitmq_stress_102400b_5000r_1,rabbitmq,stress,102400,5000,8,2,2,6939,6939,0,0,0,0,867.375,376.029,684.541,787.538,581,False,False,False,False,False,2026-04-28T09:16:34Z,2026-04-28T09:16:43Z
20260428_091643_rabbitmq_baseline_102400b_10000r_1,rabbitmq,baseline,102400,10000,8,2,2,7624,7624,0,0,0,0,953.0,653.212,1359.334,1392.733,1186,False,False,False,False,False,2026-04-28T09:16:43Z,2026-04-28T09:16:53Z
20260428_091653_rabbitmq_stress_102400b_10000r_1,rabbitmq,stress,102400,10000,8,2,2,5905,5905,0,0,0,0,738.125,653.693,1291.829,1339.898,748,False,False,False,False,False,2026-04-28T09:16:53Z,2026-04-28T09:17:02Z
20260428_091702_redis_baseline_128b_1000r_1,redis,baseline,128,1000,8,2,2,8000,8000,0,0,0,0,1000.0,0.337,0.683,9.334,1,False,False,False,False,False,2026-04-28T09:17:02Z,2026-04-28T09:17:12Z
20260428_091712_redis_stress_128b_1000r_1,redis,stress,128,1000,8,2,2,8000,8000,0,0,0,0,1000.0,0.347,0.697,3.069,0,False,False,False,False,False,2026-04-28T09:17:12Z,2026-04-28T09:17:22Z
20260428_091722_redis_baseline_128b_5000r_1,redis,baseline,128,5000,8,2,2,39998,39998,0,0,0,0,4999.75,0.431,0.996,5.472,3,False,False,False,False,False,2026-04-28T09:17:22Z,2026-04-28T09:17:32Z
20260428_091732_redis_stress_128b_5000r_1,redis,stress,128,5000,8,2,2,39998,39998,0,0,0,0,4999.75,0.41,0.93,4.333,5,False,False,False,False,False,2026-04-28T09:17:32Z,2026-04-28T09:17:42Z
20260428_091742_redis_baseline_128b_10000r_1,redis,baseline,128,10000,8,2,2,45235,45235,0,0,0,0,5654.375,0.592,1.183,21.686,4,False,False,False,False,False,2026-04-28T09:17:42Z,2026-04-28T09:17:53Z
20260428_091753_redis_stress_128b_10000r_1,redis,stress,128,10000,8,2,2,40672,40672,0,0,0,0,5084.0,0.668,1.404,34.722,7,False,False,False,False,False,2026-04-28T09:17:53Z,2026-04-28T09:18:03Z
20260428_091803_redis_baseline_1024b_1000r_1,redis,baseline,1024,1000,8,2,2,8000,8000,0,0,0,0,1000.0,0.37,0.751,7.484,2,False,False,False,False,False,2026-04-28T09:18:03Z,2026-04-28T09:18:13Z
20260428_091813_redis_stress_1024b_1000r_1,redis,stress,1024,1000,8,2,2,8000,8000,0,0,0,0,1000.0,0.374,0.753,7.664,1,False,False,False,False,False,2026-04-28T09:18:13Z,2026-04-28T09:18:23Z
