broker,profile,msg_size,rate,runs,throughput_median,throughput_min,throughput_max,p95_median,loss_median,loss_max,backlog_peak_median
rabbitmq,baseline,128,1000,1,980.875,980.875,980.875,12.144,0,0,20
rabbitmq,stress,128,1000,1,1000.0,1000.0,1000.0,11.636,0,0,10
rabbitmq,baseline,128,5000,1,1473.625,1473.625,1473.625,12.329,0,0,20
rabbitmq,stress,128,5000,1,1496.25,1496.25,1496.25,12.166,0,0,13
rabbitmq,baseline,128,10000,1,1481.625,1481.625,1481.625,12.423,0,0,10
rabbitmq,stress,128,10000,1,1558.375,1558.375,1558.375,12.283,0,0,21
rabbitmq,baseline,1024,1000,1,1000.0,1000.0,1000.0,12.138,0,0,12
rabbitmq,stress,1024,1000,1,1000.0,1000.0,1000.0,11.676,0,0,8
rabbitmq,baseline,1024,5000,1,1737.625,1737.625,1737.625,12.327,0,0,15
rabbitmq,stress,1024,5000,1,1689.875,1689.875,1689.875,12.518,0,0,27
rabbitmq,baseline,1024,10000,1,1767.625,1767.625,1767.625,12.581,0,0,14
rabbitmq,stress,1024,10000,1,1647.25,1647.25,1647.25,12.757,0,0,14
rabbitmq,baseline,10240,1000,1,999.375,999.375,999.375,11.576,0,0,10
rabbitmq,stress,10240,1000,1,1000.0,1000.0,1000.0,12.225,0,0,10
rabbitmq,baseline,10240,5000,1,1674.25,1674.25,1674.25,13.131,0,0,11
rabbitmq,stress,10240,5000,1,1495.625,1495.625,1495.625,13.431,0,0,7
rabbitmq,baseline,10240,10000,1,1624.75,1624.75,1624.75,13.665,0,0,19
rabbitmq,stress,10240,10000,1,1653.5,1653.5,1653.5,12.819,0,0,7
rabbitmq,baseline,102400,1000,1,742.625,742.625,742.625,699.517,0,0,681
rabbitmq,stress,102400,1000,1,944.875,944.875,944.875,419.178,0,0,333
rabbitmq,baseline,102400,5000,1,902.25,902.25,902.25,920.941,0,0,992
rabbitmq,stress,102400,5000,1,867.375,867.375,867.375,684.541,0,0,581
rabbitmq,baseline,102400,10000,1,953.0,953.0,953.0,1359.334,0,0,1186
rabbitmq,stress,102400,10000,1,738.125,738.125,738.125,1291.829,0,0,748
redis,baseline,128,1000,1,1000.0,1000.0,1000.0,0.683,0,0,1
redis,stress,128,1000,1,1000.0,1000.0,1000.0,0.697,0,0,0
redis,baseline,128,5000,1,4999.75,4999.75,4999.75,0.996,0,0,3
redis,stress,128,5000,1,4999.75,4999.75,4999.75,0.93,0,0,5
redis,baseline,128,10000,1,5654.375,5654.375,5654.375,1.183,0,0,4
redis,stress,128,10000,1,5084.0,5084.0,5084.0,1.404,0,0,7
redis,baseline,1024,1000,1,1000.0,1000.0,1000.0,0.751,0,0,2
redis,stress,1024,1000,1,1000.0,1000.0,1000.0,0.753,0,0,1
redis,baseline,1024,5000,1,4999.75,4999.75,4999.75,0.935,0,0,7
redis,stress,1024,5000,1,4999.75,4999.75,4999.75,0.889,0,0,8
redis,baseline,1024,10000,1,6102.125,6102.125,6102.125,1.176,0,0,8
redis,stress,1024,10000,1,6309.625,6309.625,6309.625,1.154,0,0,6
redis,baseline,10240,1000,1,1000.0,1000.0,1000.0,0.911,0,0,2
redis,stress,10240,1000,1,1000.0,1000.0,1000.0,1.11,0,0,1
redis,baseline,10240,5000,1,3561.5,3561.5,3561.5,1.147,0,0,4
redis,baseline,10240,10000,1,3665.75,3665.75,3665.75,1.086,0,0,2
redis,stress,10240,5000,1,3775.375,3775.375,3775.375,1.035,0,0,3
redis,stress,10240,10000,1,3051.25,3051.25,3051.25,1.491,0,0,3
redis,baseline,102400,1000,1,14.25,14.25,14.25,5.8,1,1,0
redis,stress,102400,1000,1,1000.0,1000.0,1000.0,1.5,0,0,2
redis,baseline,102400,5000,1,233.5,233.5,233.5,2.673,0,0,1
redis,stress,102400,5000,1,1231.875,1231.875,1231.875,2.745,0,0,2
redis,baseline,102400,10000,1,1232.0,1232.0,1232.0,2.543,0,0,2
redis,stress,102400,10000,1,1230.5,1230.5,1230.5,2.663,0,0,4
