t_s,wb_queue_size,wb_flushes,wb_flushed_rows
0.01,0,0,0
1.79,26,1,9
3.52,8,3,49
5.54,13,5,66
6.63,71,6,85
7.94,22,8,252
9.05,21,9,340
10.16,33,10,414
11.46,55,11,492
12.60,57,12,573
13.70,70,13,644
14.74,65,14,728
15.79,76,15,797
16.85,79,16,882
17.93,3,18,1047
19.11,7,19,1111
20.38,5,20,1137
21.98,22,21,1151
23.31,5,23,1189
24.34,28,24,1204
25.50,44,25,1263
26.92,72,26,1341
28.08,5,28,1506
29.16,10,29,1577
30.30,23,30,1664
31.39,30,31,1738
32.43,29,32,1811
33.52,36,33,1890
34.67,40,34,1962
35.77,34,35,2029
36.82,52,36,2078
38.08,60,37,2143
39.17,67,38,2206
40.29,13,40,2351
41.41,19,41,2423
42.47,24,42,2491
43.59,39,43,2558
44.61,41,44,2635
45.86,57,45,2712
47.10,62,46,2784
48.18,82,47,2853
49.47,14,49,3011
50.74,37,50,3083
51.85,51,51,3151
53.10,42,52,3231
54.23,58,53,3290
55.45,11,55,3435
56.54,14,56,3506
57.75,34,57,3577
58.95,46,58,3639
60.05,52,59,3716
61.05,0,60,3774
62.06,0,60,3774
63.06,0,60,3774
64.07,0,60,3774
65.08,0,60,3774
66.08,0,60,3774
67.08,0,60,3774
68.09,0,60,3774
69.09,0,60,3774
