t_s,wb_queue_size,wb_flushes,wb_flushed_rows
0.02,0,0,0
1.18,3,1,32
2.86,90,3,243
5.07,98,5,486
6.12,207,6,609
7.85,64,8,936
9.56,29,10,1107
10.71,40,11,1194
11.75,117,12,1286
13.68,95,14,1697
14.80,120,15,1902
15.97,139,16,2116
17.20,162,17,2317
18.24,175,18,2509
19.43,204,19,2724
20.49,155,20,2931
21.72,11,22,3154
24.12,21,24,3263
25.61,43,25,3311
26.89,54,27,3579
28.52,57,28,3665
30.86,13,31,3849
31.92,94,32,3909
32.98,72,33,4165
34.19,84,34,4329
35.29,98,35,4487
36.41,119,36,4644
37.60,134,37,4813
38.82,113,38,4974
40.37,55,40,5189
41.85,95,41,5281
42.91,22,43,5468
44.23,45,44,5683
45.66,72,45,5781
47.26,34,47,5971
48.48,57,48,6067
49.59,165,49,6160
51.09,20,51,6509
52.24,34,52,6627
53.31,41,53,6735
54.88,97,54,6836
55.98,219,55,6956
57.24,28,57,7293
59.03,82,58,7406
60.21,19,60,7597
61.22,0,61,7625
62.23,0,61,7625
63.23,0,61,7625
64.24,0,61,7625
65.25,0,61,7625
66.25,0,61,7625
67.26,0,61,7625
68.26,0,61,7625
69.27,0,61,7625
